iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a1,a2,beta_Cl_logtWTKG,beta_Cl_tCLCRMLMIN,corr_V2_V1,omega_Cl,omega_Q,omega_V1,omega_V2
152,755.669,1,5.75707,11.1667,41.8491,37.8848,0.303679,0.0668104,0.705753,0.594922,0.998761,0.180018,0.48977,0.299135,0.23907
153,748.71,1,5.81057,11.799,41.8849,37.9672,0.298734,0.0673844,0.722951,0.584401,0.998761,0.174731,0.463082,0.302692,0.241495
154,756.191,1,5.87254,11.7159,41.7493,37.8373,0.295605,0.0701885,0.702668,0.577477,0.998761,0.174357,0.478303,0.306318,0.246149
155,754.947,1,5.74465,12.2793,41.6736,37.8143,0.298808,0.0688055,0.734762,0.596205,0.998761,0.179943,0.472456,0.310994,0.248842
156,753.789,1,5.75449,12.7559,41.0328,37.2869,0.300918,0.0664499,0.72705,0.597927,0.998761,0.18233,0.509478,0.314823,0.249888
157,756.219,1,5.54821,12.2807,41.2127,37.4147,0.302029,0.0667668,0.774648,0.631584,0.998761,0.184112,0.519124,0.3083,0.246623
158,753.5,1,5.75005,12.4598,41.4271,37.534,0.303514,0.0655276,0.722064,0.591899,0.998761,0.185051,0.509982,0.307548,0.244761
159,746.573,1,5.67614,12.7225,41.2758,37.456,0.302598,0.0653596,0.765113,0.607938,0.998761,0.182841,0.504191,0.305641,0.241976
160,752.491,1,5.8477,13.1269,40.4985,37.069,0.299399,0.0671282,0.73602,0.583037,0.998761,0.18166,0.525891,0.306944,0.243472
161,756.78,1,5.89809,12.8094,40.2687,36.8585,0.299559,0.0670751,0.731531,0.575307,0.998761,0.181379,0.525319,0.307646,0.244607
162,752.36,1,5.8668,12.9071,40.5522,37.0925,0.302544,0.0664085,0.708875,0.5798,0.998761,0.182104,0.491062,0.308537,0.242296
163,755.713,1,5.92704,12.1098,40.7116,37.0984,0.304187,0.0666396,0.757296,0.56704,0.998761,0.181715,0.456296,0.307602,0.243335
164,756.033,1,5.77523,11.9441,40.9154,37.0642,0.30861,0.0665758,0.75852,0.590808,0.998761,0.187711,0.476533,0.312885,0.244292
165,750.183,1,5.82238,11.9285,41.0776,37.1093,0.301118,0.0665114,0.762126,0.584038,0.998761,0.18797,0.496759,0.31193,0.246222
166,752.101,1,5.81485,12.1995,41.2943,37.2869,0.301984,0.0650913,0.725923,0.587033,0.998761,0.183128,0.503943,0.316404,0.247003
167,751.498,1,5.82231,12.6969,40.9799,37.1311,0.303595,0.063282,0.734088,0.580856,0.998761,0.188877,0.492232,0.31775,0.246136
168,750.181,1,5.78433,12.5351,40.8433,36.9972,0.302804,0.0644879,0.719122,0.588365,0.998761,0.183351,0.507652,0.309973,0.241527
169,744.13,1,5.84963,12.5863,41.0532,37.2117,0.302858,0.061771,0.747345,0.581554,0.998761,0.178711,0.540825,0.318607,0.24873
170,752.632,1,5.80654,12.4622,40.8968,37.2442,0.300619,0.0634615,0.752466,0.588999,0.998761,0.177634,0.535896,0.313589,0.246039
171,748.903,1,5.73122,12.2023,41.1123,37.4924,0.301231,0.0644696,0.787058,0.601824,0.998761,0.176639,0.491292,0.307883,0.242528
172,744.306,1,5.62662,12.5169,40.834,37.3881,0.298415,0.0656668,0.780068,0.619231,0.998761,0.175027,0.492939,0.307896,0.242078
173,751.63,1,5.68198,12.4444,41.2504,37.6477,0.297218,0.0657317,0.795515,0.610715,0.998761,0.175278,0.495627,0.305703,0.240114
174,751.677,1,5.80813,12.2103,41.1961,37.5332,0.301958,0.0643507,0.706586,0.590217,0.998761,0.181588,0.505523,0.308725,0.24377
175,752.043,1,5.83278,12.2309,40.85,37.2747,0.298658,0.0659866,0.776426,0.588006,0.998761,0.178481,0.490993,0.31177,0.245706
176,750.277,1,5.76143,12.6978,40.7939,37.2133,0.301989,0.0647242,0.753971,0.594578,0.998761,0.182629,0.510424,0.314843,0.247141
177,752.515,1,5.83128,12.5912,40.8593,37.4097,0.297133,0.065846,0.738724,0.58188,0.998761,0.183773,0.509092,0.313216,0.249209
